Tube,Inclination,radians,sin angle,Grids,length of tube,tubedepth,"soil volume (cm3, m2 to depth of tube)",windowsto20
1,41.4,0.722568,0.661313133,45,40.5,26.78318188,267831.8188,33
2,33.2,0.579450667,0.547564357,50,45,24.64039608,246403.9608,40
3,36,0.62832,0.587786441,39,35.1,20.63130408,206313.0408,37
4,35.4,0.617848,0.57928235,59,53.1,30.75989279,307598.9279,38
5,29.9,0.521854667,0.498488798,46,41.4,20.63743622,206374.3622,44
6,34.3,0.598649333,0.563527205,45,40.5,22.82285182,228228.5182,39
7,35.3,0.616102667,0.5778588,45,40.5,23.40328141,234032.8141,38
8,33.8,0.589922667,0.556296762,42,37.8,21.0280176,210280.176,39
9,44.5,0.776673333,0.70091056,39,35.1,24.60196065,246019.6065,31
10,42.4,0.740021333,0.674303665,61,54.9,37.01927123,370192.7123,32
11,41.8,0.729549333,0.666533742,55,49.5,32.99342023,329934.2023,33
12,48.1,0.839505333,0.744312857,46,41.4,30.81455229,308145.5229,29
13,50.1,0.874412,0.767166463,46,41.4,31.76069159,317606.9159,28
14,46.9,0.818561333,0.730163585,52,46.8,34.17165575,341716.5575,30
15,47.3,0.825542667,0.734915904,49,44.1,32.40979138,324097.9138,30
16,41.9,0.731294667,0.667833828,41,36.9,24.64306826,246430.6826,33
17,44.3,0.773182667,0.698416579,36,32.4,22.62869717,226286.9717,31
18,45.9,0.801108,0.718127601,41,36.9,26.49890849,264989.0849,30
19,42.7,0.745257333,0.678160951,39,35.1,23.80344937,238034.4937,32
20,55.2,0.963424,0.821150495,40,36,29.56141782,295614.1782,27
21,40.2,0.701624,0.645458941,56,50.4,32.53113062,325311.3062,34
22,39.1,0.682425333,0.630677046,43,38.7,24.40720167,244072.0167,35
23,39.7,0.692897333,0.638769064,53,47.7,30.46928436,304692.8436,34
24,43.3,0.755729333,0.685819639,57,51.3,35.18254748,351825.4748,32
25,45,0.7854,0.70710808,34,30.6,21.63750724,216375.0724,31
26,44,0.767946667,0.694659662,52,46.8,32.51007219,325100.7219,31
27,46.6,0.813325333,0.726575978,60,54,39.2351028,392351.028,30
28,43,0.750493333,0.681999644,59,53.1,36.21418107,362141.8107,32
29,36.6,0.638792,0.596226074,35,31.5,18.78112134,187811.2134,35
30,41.2,0.719077333,0.658690725,34,30.6,20.15593619,201559.3619,33
31,42.6,0.743512,0.676877249,50,45,30.45947623,304594.7623,32
32,49.8,0.869176,0.763797341,37,33.3,25.43445144,254344.5144,29
33,46.2,0.806344,0.721761533,51,45.9,33.12885437,331288.5437,30
34,44,0.767946667,0.694659662,36,32.4,22.50697306,225069.7306,31
35,44.4,0.774928,0.699664635,36,32.4,22.66913418,226691.3418,31
36,46.3,0.808089333,0.722968451,44,39.6,28.62955068,286295.5068,30
37,33.4,0.582941333,0.550481878,41,36.9,20.3127813,203127.813,40
38,35.2,0.614357333,0.57643349,44,39.6,22.82676621,228267.6621,38
39,43.2,0.753984,0.684548391,40,36,24.64374208,246437.4208,32
40,43.8,0.764456,0.692144464,35,31.5,21.80255062,218025.5062,32
